Loading 30 days of data...
✓ Loaded 216005 rows from 5 symbols

Fee regime: mexc_spot_mx | buy_fee=0.003% | sell_fee=0.003%
Using device: cpu

======================================================================
                 3-WAY BACKTEST (Train / Val / Test)                  
======================================================================
Train: 129600 rows ( 5 symbols) 1767311940000000 → 1768867080000000
Val:    43200 rows ( 5 symbols) 1768867140000000 → 1769385480000000
Test:   43205 rows ( 5 symbols) 1769385540000000 → 1769903940000000
======================================================================

Train env: 129600 rows, 5 symbols
Eval env: 43200 rows, 5 symbols
PHASE 1: Training on train set with val monitoring...
[TRAIN] Warning: --train-steps is smaller than one episode length (10000 < 25920). Reward curves may be sparse.
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Created new PPO model (device=cpu)
  Hyperparameters:
    learning_rate=0.0002, batch_size=16
    n_steps=512, n_epochs=5
    policy_arch=[256, 128, 64]

Training for 10000 timesteps...
-----------------------------
| time/              |      |
|    fps             | 2891 |
|    iterations      | 1    |
|    time_elapsed    | 0    |
|    total_timesteps | 512  |
-----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 395         |
|    iterations           | 2           |
|    time_elapsed         | 2           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.011727855 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | -2.74e-05   |
|    learning_rate        | 0.0002      |
|    loss                 | 1.16e+03    |
|    n_updates            | 5           |
|    policy_gradient_loss | -0.0161     |
|    std                  | 1.01        |
|    value_loss           | 2.73e+03    |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 433         |
|    iterations           | 3           |
|    time_elapsed         | 3           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.013576515 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.28       |
|    explained_variance   | 1.13e-06    |
|    learning_rate        | 0.0002      |
|    loss                 | 1.37e+03    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0171     |
|    std                  | 1.01        |
|    value_loss           | 2.85e+03    |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 436         |
|    iterations           | 4           |
|    time_elapsed         | 4           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.013339777 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0002      |
|    loss                 | 1.17e+03    |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.0138     |
|    std                  | 1.01        |
|    value_loss           | 2.45e+03    |
-----------------------------------------
------------------------------------------
| time/                   |              |
|    fps                  | 440          |
|    iterations           | 5            |
|    time_elapsed         | 5            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0127419755 |
|    clip_fraction        | 0.135        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.31        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0002       |
|    loss                 | 1.03e+03     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0163      |
|    std                  | 1.02         |
|    value_loss           | 1.98e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.62e+03    |
|    ep_rew_mean          | -7.41e+03   |
| time/                   |             |
|    fps                  | 450         |
|    iterations           | 6           |
|    time_elapsed         | 6           |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.012343276 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.32       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0002      |
|    loss                 | 261         |
|    n_updates            | 25          |
|    policy_gradient_loss | -0.0214     |
|    std                  | 1.02        |
|    value_loss           | 835         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.62e+03    |
|    ep_rew_mean          | -7.41e+03   |
| time/                   |             |
|    fps                  | 489         |
|    iterations           | 7           |
|    time_elapsed         | 7           |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.019951088 |
|    clip_fraction        | 0.332       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.33       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0002      |
|    loss                 | 290         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0347     |
|    std                  | 1.03        |
|    value_loss           | 593         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.62e+03    |
|    ep_rew_mean          | -7.41e+03   |
| time/                   |             |
|    fps                  | 520         |
|    iterations           | 8           |
|    time_elapsed         | 7           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.025600692 |
|    clip_fraction        | 0.385       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.35       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0002      |
|    loss                 | 255         |
|    n_updates            | 35          |
|    policy_gradient_loss | -0.0184     |
|    std                  | 1.03        |
|    value_loss           | 470         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2.62e+03  |
|    ep_rew_mean          | -7.41e+03 |
| time/                   |           |
